,uni_adm_yr,gender,age,hsc_pass_yr,curr_semester,scholarship,uni_transport_use,study_hrs_day,study_seat_day,pref_learn_mode,smart_phone_use,personal_comp,socialmed_hrs_day,eng_proficiency,avg_class_attend_perc,probation_record,suspension_record,teacher_consult,skills,skills_hrs_day,relationship_status,co_curricular_activity,co_living,health_issues,previous_sGPA,physical_disability,curr_cGPA,credits_completed,fam_income_month,curr_cGPA_binary,curr_cGPA_quaternary,curr_cGPA_ternary
0,2021,Female,22,2019,4,Yes,No,2,2,Offline,Yes,Yes,2,Basic,100,Yes,No,Yes,Web development skill(Frontend),1,Single,No,Bachelor,No,3.8,No,3.64,35,32500.0,1,3,2
1,2021,Male,22,2019,4,No,No,3,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,1,Single,No,Bachelor,Yes,3.4,No,3.53,35,20000.0,1,3,2
2,2021,Male,20,2020,4,Yes,Yes,2,1,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,Single,Yes,Family,No,3.93,No,3.89,35,30000.0,1,3,2
3,2021,Male,21,2020,4,Yes,No,1,2,Online,Yes,Yes,3,Advance,70,No,No,Yes,Programming,1,In a relationship,No,Family,No,3.1,No,3.5,35,40000.0,1,3,2
4,2021,Female,21,2019,4,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,96,No,No,Yes,Web development skill(Frontend),1,Single,Yes,Bachelor,No,3.81,No,3.65,34,30000.0,1,3,2
5,2021,Male,21,2020,4,Yes,Yes,1,1,Online,Yes,Yes,1,Advance,85,No,No,Yes,Content creation,1,Single,Yes,Bachelor,Yes,3.89,No,3.81,35,35000.0,1,3,2
6,2021,Female,20,2020,4,No,No,3,2,Offline,Yes,Yes,1,Basic,97,No,No,Yes,Programming,1,Single,No,Family,No,3.79,No,3.82,39,50000.0,1,3,2
7,2021,Male,21,2020,4,Yes,Yes,2,1,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,"Programming, Software  Development skill, Web development skill(Frontend)",2,Single,Yes,Bachelor,Yes,3.28,No,3.32,35,8000.0,1,2,2
9,2022,Male,20,2020,2,Yes,No,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Single,No,Family,No,3.9,No,3.9,12,60000.0,1,3,2
10,2020,Male,21,2019,2,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,95,No,No,Yes,Programming,1,Single,No,Bachelor,No,3.84,No,3.8,80,23000.0,1,3,2
12,2020,Male,21,2019,8,No,No,4,1,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development skill(Frontend),2,Single,No,Bachelor,No,3.07,No,2.74,85,20000.0,1,1,1
13,2019,Female,21,2019,8,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,Single,No,Family,No,3.76,No,3.5,83,92000.0,1,3,2
14,2019,Male,23,2018,11,Yes,No,6,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",5,Single,Yes,Bachelor,No,3.84,No,3.1,73,30000.0,1,2,1
15,2021,Male,19,2020,4,Yes,No,1,1,Offline,Yes,No,1,Intermediate,95,No,No,Yes,"Programming, Photography ",1,Single,Yes,Family,No,3.5,No,3.58,35,30000.0,1,3,2
